utc,local,subdir,bytes,files,bytes_delta,files_delta,mb_per_s,files_per_s
2026-09-04T02:24:01Z,2026-09-03T19:24:01,.,467648797,5845,16133068,222,0.256,3.7
2026-09-04T02:25:03Z,2026-09-03T19:25:03,src,415620398,5294,0,0,0,0
2026-09-04T02:25:03Z,2026-09-03T19:25:03,data,68220436,767,16205974,224,0.258,3.73
2026-09-04T02:25:03Z,2026-09-03T19:25:03,.,483854771,6069,16205974,224,0.258,3.73
2026-09-04T02:26:05Z,2026-09-03T19:26:05,src,415620398,5294,0,0,0,0
2026-09-04T02:26:05Z,2026-09-03T19:26:05,data,84657677,1093,16437241,326,0.261,5.43
2026-09-04T02:26:05Z,2026-09-03T19:26:05,.,500358638,6396,16503867,327,0.262,5.45
2026-09-04T02:27:06Z,2026-09-03T19:27:06,src,415620398,5294,0,0,0,0
2026-09-04T02:27:06Z,2026-09-03T19:27:06,data,97993891,1277,13336214,184,0.212,3.07
2026-09-04T02:27:06Z,2026-09-03T19:27:06,.,513628226,6579,13269588,183,0.211,3.05
2026-09-04T02:28:08Z,2026-09-03T19:28:08,src,415620398,5294,0,0,0,0
2026-09-04T02:28:08Z,2026-09-03T19:28:08,data,111094583,1445,13100692,168,0.208,2.8
2026-09-04T02:28:08Z,2026-09-03T19:28:08,.,526728918,6747,13100692,168,0.208,2.8
2026-09-04T02:29:10Z,2026-09-03T19:29:10,src,415620398,5294,0,0,0,0
2026-09-04T02:29:10Z,2026-09-03T19:29:10,data,126814719,1623,15720136,178,0.25,2.97
2026-09-04T02:29:10Z,2026-09-03T19:29:10,.,542449054,6925,15720136,178,0.25,2.97
2026-09-04T02:30:12Z,2026-09-03T19:30:12,src,415620398,5294,0,0,0,0
2026-09-04T02:30:12Z,2026-09-03T19:30:12,data,142984903,1887,16170184,264,0.257,4.4
2026-09-04T02:30:12Z,2026-09-03T19:30:12,.,558656102,7190,16207048,265,0.258,4.42
2026-09-04T02:31:14Z,2026-09-03T19:31:14,src,415620398,5294,0,0,0,0
2026-09-04T02:31:14Z,2026-09-03T19:31:14,data,163722270,2358,20737367,471,0.33,7.85
2026-09-04T02:31:14Z,2026-09-03T19:31:14,.,579356605,7660,20700503,470,0.329,7.83
2026-09-04T02:32:16Z,2026-09-03T19:32:16,src,415620398,5294,0,0,0,0
2026-09-04T02:32:16Z,2026-09-03T19:32:16,data,178401842,2598,14679572,240,0.233,4
2026-09-04T02:32:16Z,2026-09-03T19:32:16,.,594036177,7900,14679572,240,0.233,4
2026-09-04T02:33:19Z,2026-09-03T19:33:19,src,415620398,5294,0,0,0,0
2026-09-04T02:33:19Z,2026-09-03T19:33:19,data,190821187,3077,12419345,479,0.197,7.98
2026-09-04T02:33:19Z,2026-09-03T19:33:19,.,606459302,8386,12423125,486,0.197,8.1
2026-09-04T02:34:21Z,2026-09-03T19:34:21,src,415620398,5294,0,0,0,0
2026-09-04T02:34:21Z,2026-09-03T19:34:21,data,211213305,3603,20392118,526,0.324,8.77
2026-09-04T02:34:21Z,2026-09-03T19:34:21,.,626847904,8907,20388602,521,0.324,8.68
2026-09-04T02:35:23Z,2026-09-03T19:35:23,src,415620398,5294,0,0,0,0
2026-09-04T02:35:23Z,2026-09-03T19:35:23,data,227634509,3910,16421204,307,0.261,5.12
2026-09-04T02:35:23Z,2026-09-03T19:35:23,.,643522796,9212,16674892,305,0.265,5.08
2026-09-04T02:36:26Z,2026-09-03T19:36:26,src,415620398,5294,0,0,0,0
2026-09-04T02:36:26Z,2026-09-03T19:36:26,data,242820455,4211,15185946,301,0.241,5.02
2026-09-04T02:36:26Z,2026-09-03T19:36:26,.,658712838,9513,15190042,301,0.241,5.02
2026-09-04T02:37:28Z,2026-09-03T19:37:28,src,415620398,5294,0,0,0,0
2026-09-04T02:37:28Z,2026-09-03T19:37:28,data,263599059,4409,20778604,198,0.33,3.3
2026-09-04T02:37:28Z,2026-09-03T19:37:28,.,679408110,9717,20695272,204,0.329,3.4
2026-09-04T02:38:31Z,2026-09-03T19:38:31,src,415620398,5294,0,0,0,0
2026-09-04T02:38:31Z,2026-09-03T19:38:31,data,280794312,4755,17195253,346,0.273,5.77
2026-09-04T02:38:31Z,2026-09-03T19:38:31,.,696585191,10059,17177081,342,0.273,5.7
2026-09-04T02:39:33Z,2026-09-03T19:39:33,src,415620398,5294,0,0,0,0
2026-09-04T02:39:33Z,2026-09-03T19:39:33,data,286173132,4954,5378820,199,0.085,3.32
2026-09-04T02:39:33Z,2026-09-03T19:39:33,.,701815659,10256,5230468,197,0.083,3.28
2026-09-04T02:40:36Z,2026-09-03T19:40:36,src,415620398,5294,0,0,0,0
2026-09-04T02:40:36Z,2026-09-03T19:40:36,data,286727975,4985,554843,31,0.009,0.52
2026-09-04T02:40:36Z,2026-09-03T19:40:36,.,702366406,10287,550747,31,0.009,0.52
2026-09-04T02:41:38Z,2026-09-03T19:41:38,src,415620398,5294,0,0,0,0
2026-09-04T02:41:38Z,2026-09-03T19:41:38,data,287291049,4985,563074,0,0.009,0
2026-09-04T02:41:38Z,2026-09-03T19:41:38,.,702929480,10287,563074,0,0.009,0
2026-09-04T02:42:41Z,2026-09-03T19:42:41,src,415620398,5294,0,0,0,0
2026-09-04T02:42:41Z,2026-09-03T19:42:41,data,287831566,5015,540517,30,0.009,0.5
2026-09-04T02:42:41Z,2026-09-03T19:42:41,.,703469997,10317,540517,30,0.009,0.5
2026-09-04T02:43:43Z,2026-09-03T19:43:43,src,415620398,5294,0,0,0,0
2026-09-04T02:43:43Z,2026-09-03T19:43:43,data,288389448,5057,557882,42,0.009,0.7
2026-09-04T02:43:43Z,2026-09-03T19:43:43,.,704027879,10359,557882,42,0.009,0.7
2026-09-04T02:44:46Z,2026-09-03T19:44:46,src,415620398,5294,0,0,0,0
2026-09-04T02:44:46Z,2026-09-03T19:44:46,data,288957847,5062,568399,5,0.009,0.08
2026-09-04T02:44:46Z,2026-09-03T19:44:46,.,704596278,10364,568399,5,0.009,0.08
2026-09-04T02:45:49Z,2026-09-03T19:45:49,src,415620398,5294,0,0,0,0
2026-09-04T02:45:49Z,2026-09-03T19:45:49,data,289534384,5126,576537,64,0.009,1.07
2026-09-04T02:45:49Z,2026-09-03T19:45:49,.,705172815,10428,576537,64,0.009,1.07
2026-09-04T02:46:51Z,2026-09-03T19:46:51,src,415620398,5294,0,0,0,0
2026-09-04T02:46:51Z,2026-09-03T19:46:51,data,290106145,5170,571761,44,0.009,0.73
2026-09-04T02:46:51Z,2026-09-03T19:46:51,.,705743810,10476,570995,48,0.009,0.8
2026-09-04T02:47:54Z,2026-09-03T19:47:54,src,415620398,5294,0,0,0,0
2026-09-04T02:47:54Z,2026-09-03T19:47:54,data,290661793,5177,555648,7,0.009,0.12
2026-09-04T02:47:54Z,2026-09-03T19:47:54,.,706300224,10479,556414,3,0.009,0.05
2026-09-04T02:48:56Z,2026-09-03T19:48:56,src,415620398,5294,0,0,0,0
2026-09-04T02:48:56Z,2026-09-03T19:48:56,data,291207624,5184,545831,7,0.009,0.12
2026-09-04T02:48:56Z,2026-09-03T19:48:56,.,706846055,10486,545831,7,0.009,0.12
2026-09-04T02:49:59Z,2026-09-03T19:49:59,src,415620398,5294,0,0,0,0
2026-09-04T02:49:59Z,2026-09-03T19:49:59,data,291727666,5208,520042,24,0.008,0.4
2026-09-04T02:49:59Z,2026-09-03T19:49:59,.,707366097,10510,520042,24,0.008,0.4
2026-09-04T02:51:02Z,2026-09-03T19:51:02,src,415620398,5294,0,0,0,0
2026-09-04T02:51:02Z,2026-09-03T19:51:02,data,292243560,5216,515894,8,0.008,0.13
2026-09-04T02:51:02Z,2026-09-03T19:51:02,.,707881991,10518,515894,8,0.008,0.13
2026-09-04T02:52:04Z,2026-09-03T19:52:04,src,415620398,5294,0,0,0,0
2026-09-04T02:52:04Z,2026-09-03T19:52:04,data,292799014,5217,555454,1,0.009,0.02
2026-09-04T02:52:04Z,2026-09-03T19:52:04,.,708441541,10519,559550,1,0.009,0.02
2026-09-04T02:53:07Z,2026-09-03T19:53:07,src,415620398,5294,0,0,0,0
2026-09-04T02:53:07Z,2026-09-03T19:53:07,data,293339742,5224,540728,7,0.009,0.12
2026-09-04T02:53:07Z,2026-09-03T19:53:07,.,708978173,10526,536632,7,0.009,0.12
2026-09-04T02:54:10Z,2026-09-03T19:54:10,src,415620398,5294,0,0,0,0
2026-09-04T02:54:10Z,2026-09-03T19:54:10,data,293837960,5251,498218,27,0.008,0.45
2026-09-04T02:54:10Z,2026-09-03T19:54:10,.,709483658,10553,505485,27,0.008,0.45
2026-09-04T02:55:12Z,2026-09-03T19:55:12,src,415620398,5294,0,0,0,0
2026-09-04T02:55:12Z,2026-09-03T19:55:12,data,294408337,5274,570377,23,0.009,0.38
2026-09-04T02:55:12Z,2026-09-03T19:55:12,.,710050864,10576,567206,23,0.009,0.38
2026-09-04T02:56:15Z,2026-09-03T19:56:15,src,415620398,5294,0,0,0,0
2026-09-04T02:56:15Z,2026-09-03T19:56:15,data,294916301,5288,507964,14,0.008,0.23
2026-09-04T02:56:15Z,2026-09-03T19:56:15,.,710554732,10590,503868,14,0.008,0.23
2026-09-04T02:57:18Z,2026-09-03T19:57:18,src,415620398,5294,0,0,0,0
2026-09-04T02:57:18Z,2026-09-03T19:57:18,data,295458942,5316,542641,28,0.009,0.47
2026-09-04T02:57:18Z,2026-09-03T19:57:18,.,711093277,10618,538545,28,0.009,0.47
2026-09-04T02:58:20Z,2026-09-03T19:58:20,src,415620398,5294,0,0,0,0
2026-09-04T02:58:20Z,2026-09-03T19:58:20,data,296014717,5332,555775,16,0.009,0.27
2026-09-04T02:58:20Z,2026-09-03T19:58:20,.,711651554,10635,558277,17,0.009,0.28
2026-09-04T02:59:23Z,2026-09-03T19:59:23,src,415620398,5294,0,0,0,0
2026-09-04T02:59:23Z,2026-09-03T19:59:23,data,296556332,5357,541615,25,0.009,0.42
